year,cycles_year,annual_degradation_%,cumulative_degradation_%,soh_%,residual_capacity_kwh,c_rate,soc_window_%,degradation_source
63,365.25,0.015496417262545492,6.938470494428133,93.06152950557187,930.6152950557187,0.5,5%-95%,Cyclic + Calendar
64,365.25,0.015373020371680469,6.953843514799815,93.04615648520019,930.4615648520019,0.5,5%-95%,Cyclic + Calendar
65,365.25,0.015252504562806735,6.969096019362614,93.03090398063738,930.3090398063738,0.5,5%-95%,Cyclic + Calendar
66,365.25,0.015134759438024047,6.98423077880065,93.01576922119935,930.1576922119935,0.5,5%-95%,Cyclic + Calendar
67,365.25,0.015019680432658332,6.999250459233308,93.00074954076669,930.007495407667,0.5,5%-95%,Cyclic + Calendar
68,365.25,0.014907168424645078,7.01415762765795,92.98584237234205,929.8584237234205,0.5,5%-95%,Cyclic + Calendar
69,365.25,0.014797129375790518,7.028954757033731,92.97104524296627,929.7104524296626,0.5,5%-95%,Cyclic + Calendar
70,365.25,0.014689474001272629,7.043644231035011,92.956355768965,929.5635576896499,0.5,5%-95%,Cyclic + Calendar
71,365.25,0.01458411746521051,7.058228348500214,92.94177165149978,929.4177165149978,0.5,5%-95%,Cyclic + Calendar
72,365.25,0.014480979099471368,7.072709327599696,92.9272906724003,929.2729067240031,0.5,5%-95%,Cyclic + Calendar
73,365.25,0.014379982144259885,7.08708930974396,92.91291069025604,929.1291069025605,0.5,5%-95%,Cyclic + Calendar
74,365.25,0.014281053507818341,7.101370363251765,92.89862963674823,928.9862963674823,0.5,5%-95%,Cyclic + Calendar
75,365.25,0.014184123544112026,7.115554486795885,92.88444551320411,928.8444551320412,0.5,5%-95%,Cyclic + Calendar
76,365.25,0.014089125846908246,7.129643612642784,92.8703563873572,928.7035638735721,0.5,5%-95%,Cyclic + Calendar
77,365.25,0.013995997058293595,7.143639609701083,92.85636039029892,928.5636039029891,0.5,5%-95%,Cyclic + Calendar
78,365.25,0.013904676691333861,7.157544286392413,92.84245571360759,928.4245571360758,0.5,5%-95%,Cyclic + Calendar
79,365.25,0.013815106964739244,7.17135939335716,92.82864060664284,928.2864060664284,0.5,5%-95%,Cyclic + Calendar
80,365.25,0.013727232649398503,7.185086626006551,92.81491337399345,928.1491337399344,0.5,5%-95%,Cyclic + Calendar
81,365.25,0.013641000925065329,7.198727626931619,92.80127237306837,928.0127237306838,0.5,5%-95%,Cyclic + Calendar
82,365.25,0.013556361247117366,7.212283988178733,92.78771601182126,927.8771601182126,0.5,5%-95%,Cyclic + Calendar
83,365.25,0.013473265221875863,7.225757253400612,92.77424274659938,927.7424274659938,0.5,5%-95%,Cyclic + Calendar
84,365.25,0.013391666490451825,7.239148919891073,92.76085108010894,927.6085108010893,0.5,5%-95%,Cyclic + Calendar
85,365.25,0.013311520619993189,7.2524604405110615,92.74753955948893,927.4753955948894,0.5,5%-95%,Cyclic + Calendar
86,365.25,0.013232785001980574,7.265693225513033,92.73430677448697,927.3430677448696,0.5,5%-95%,Cyclic + Calendar
87,365.25,0.0131554187570714,7.278848644270114,92.72115135572989,927.2115135572989,0.5,5%-95%,Cyclic + Calendar
88,365.25,0.013079382645980785,7.291928026916099,92.7080719730839,927.0807197308391,0.5,5%-95%,Cyclic + Calendar
89,365.25,0.013004638985682958,7.304932665901781,92.69506733409823,926.9506733409822,0.5,5%-95%,Cyclic + Calendar
90,365.25,0.012931151571058308,7.3178638174728405,92.68213618252716,926.8213618252717,0.5,5%-95%,Cyclic + Calendar
91,365.25,0.012858885601178826,7.330722703074008,92.66927729692598,926.6927729692599,0.5,5%-95%,Cyclic + Calendar
92,365.25,0.012787807609981883,7.343510510683993,92.656489489316,926.56489489316,0.5,5%-95%,Cyclic + Calendar
93,365.25,0.012717885401286821,7.3562283960852834,92.64377160391471,926.4377160391472,0.5,5%-95%,Cyclic + Calendar
94,365.25,0.012649087987381336,7.368877484072661,92.63112251592733,926.3112251592734,0.5,5%-95%,Cyclic + Calendar
95,365.25,0.012581385531348133,7.381458869604009,92.618541130396,926.1854113039599,0.5,5%-95%,Cyclic + Calendar
96,365.25,0.012514749292745365,7.393973618896759,92.60602638110325,926.0602638110324,0.5,5%-95%,Cyclic + Calendar
97,365.25,0.012449151576299756,7.406422770473053,92.59357722952694,925.9357722952694,0.5,5%-95%,Cyclic + Calendar
98,365.25,0.012384565683510118,7.4188073361565605,92.58119266384344,925.8119266384343,0.5,5%-95%,Cyclic + Calendar
99,365.25,0.012320965867047564,7.4311283020236125,92.56887169797639,925.6887169797639,0.5,5%-95%,Cyclic + Calendar
100,365.25,0.012258327287622706,7.443386629311235,92.55661337068877,925.5661337068876,0.5,5%-95%,Cyclic + Calendar
101,365.25,0.012196625973160735,7.455583255284394,92.5444167447156,925.444167447156,0.5,5%-95%,Cyclic + Calendar
102,365.25,0.012135838780318408,7.467719094064712,92.53228090593528,925.3228090593528,0.5,5%-95%,Cyclic + Calendar
103,365.25,0.012075943357979213,7.4797950374227025,92.5202049625773,925.202049625773,0.5,5%-95%,Cyclic + Calendar
104,365.25,0.012016918112783515,7.491811955535477,92.50818804446452,925.0818804446452,0.5,5%-95%,Cyclic + Calendar
105,365.25,0.011958742176250325,7.503770697711737,92.49622930228827,924.9622930228827,0.5,5%-95%,Cyclic + Calendar
