year,cycles_year,annual_degradation_%,cumulative_degradation_%,soh_%,residual_capacity_kwh,c_rate,soc_window_%,degradation_source
393,365.25,0.006625499695748586,7.31404828011507,92.68595171988493,4.448925682554476,0.5,5%-95%,Cyclic + Calendar
394,365.25,0.006616882198107188,7.32066516231319,92.67933483768681,4.448608072208967,0.5,5%-95%,Cyclic + Calendar
395,365.25,0.006608297487498138,7.32727345980069,92.6727265401993,4.448290873929567,0.5,5%-95%,Cyclic + Calendar
396,365.25,0.006599745356494768,7.333873205157182,92.66612679484282,4.447974086152455,0.5,5%-95%,Cyclic + Calendar
397,365.25,0.0065912255995392854,7.340464430756725,92.65953556924327,4.447657707323677,0.5,5%-95%,Cyclic + Calendar
398,365.25,0.006582738012924269,7.347047168769648,92.65295283123035,4.447341735899057,0.5,5%-95%,Cyclic + Calendar
399,365.25,0.006574282394681645,7.353621451164319,92.64637854883568,4.447026170344112,0.5,5%-95%,Cyclic + Calendar
400,365.25,0.0065658585446011965,7.360187309708937,92.63981269029107,4.446711009133971,0.5,5%-95%,Cyclic + Calendar
401,365.25,0.0065574662643415795,7.36674477597327,92.63325522402674,4.446396250753283,0.5,5%-95%,Cyclic + Calendar
402,365.25,0.006549105357115763,7.373293881330391,92.62670611866962,4.4460818936961415,0.5,5%-95%,Cyclic + Calendar
403,365.25,0.006540775628005591,7.379834656958383,92.62016534304162,4.445767936465997,0.5,5%-95%,Cyclic + Calendar
404,365.25,0.00653247688364722,7.38636713384204,92.61363286615796,4.445454377575582,0.5,5%-95%,Cyclic + Calendar
405,365.25,0.006524208932508676,7.392891342774538,92.60710865722545,4.445141215546822,0.5,5%-95%,Cyclic + Calendar
406,365.25,0.0065159715845382795,7.399407314359081,92.60059268564092,4.444828448910764,0.5,5%-95%,Cyclic + Calendar
407,365.25,0.006507764651460709,7.405915079010554,92.59408492098945,4.444516076207494,0.5,5%-95%,Cyclic + Calendar
408,365.25,0.00649958794657346,7.412414666957128,92.58758533304288,4.444204095986058,0.5,5%-95%,Cyclic + Calendar
409,365.25,0.006491441284746843,7.418906108241864,92.58109389175814,4.44389250680439,0.5,5%-95%,Cyclic + Calendar
410,365.25,0.006483324482423984,7.425389432724298,92.57461056727571,4.443581307229234,0.5,5%-95%,Cyclic + Calendar
411,365.25,0.0064752373577318485,7.431864670082011,92.568135329918,4.443270495836063,0.5,5%-95%,Cyclic + Calendar
412,365.25,0.006467179730148173,7.438331849812169,92.56166815018783,4.442960071209016,0.5,5%-95%,Cyclic + Calendar
413,365.25,0.006459151420890041,7.444791001233056,92.55520899876694,4.442650031940813,0.5,5%-95%,Cyclic + Calendar
414,365.25,0.0064511522525438165,7.451242153485595,92.5487578465144,4.442340376632691,0.5,5%-95%,Cyclic + Calendar
415,365.25,0.006443182049231666,7.457685335534841,92.54231466446517,4.442031103894328,0.5,5%-95%,Cyclic + Calendar
416,365.25,0.0064352406366300725,7.464120576171466,92.53587942382853,4.44172221234377,0.5,5%-95%,Cyclic + Calendar
417,365.25,0.006427327841766288,7.470547904013228,92.52945209598677,4.441413700607365,0.5,5%-95%,Cyclic + Calendar
418,365.25,0.00641944349318487,7.476967347506412,92.52303265249358,4.441105567319692,0.5,5%-95%,Cyclic + Calendar
419,365.25,0.006411587420855162,7.483378934927274,92.51662106507273,4.440797811123491,0.5,5%-95%,Cyclic + Calendar
420,365.25,0.006403759456189799,7.489782694383459,92.51021730561654,4.440490430669594,0.5,5%-95%,Cyclic + Calendar
421,365.25,0.006395959431933681,7.496178653815401,92.5038213461846,4.440183424616861,0.5,5%-95%,Cyclic + Calendar
422,365.25,0.006388187182330511,7.502566840997717,92.49743315900228,4.439876791632109,0.5,5%-95%,Cyclic + Calendar
423,365.25,0.00638044254286374,7.508947283540576,92.49105271645942,4.439570530390052,0.5,5%-95%,Cyclic + Calendar
424,365.25,0.006372725350478614,7.515320008891067,92.48467999110893,4.439264639573229,0.5,5%-95%,Cyclic + Calendar
425,365.25,0.006365035443471149,7.521685044334536,92.47831495566547,4.438959117871942,0.5,5%-95%,Cyclic + Calendar
426,365.25,0.006357372661377111,7.528042416995922,92.47195758300408,4.438653963984196,0.5,5%-95%,Cyclic + Calendar
427,365.25,0.00634973684515705,7.534392153841078,92.46560784615893,4.4383491766156284,0.5,5%-95%,Cyclic + Calendar
428,365.25,0.006342127836992765,7.540734281678062,92.45926571832193,4.438044754479453,0.5,5%-95%,Cyclic + Calendar
429,365.25,0.006334545480361313,7.5470688271584345,92.45293117284157,4.4377406962963954,0.5,5%-95%,Cyclic + Calendar
430,365.25,0.006326989620109025,7.553395816778538,92.44660418322145,4.43743700079463,0.5,5%-95%,Cyclic + Calendar
431,365.25,0.006319460102210961,7.559715276880756,92.44028472311925,4.437133666709724,0.5,5%-95%,Cyclic + Calendar
432,365.25,0.006311956774011455,7.566027233654757,92.43397276634524,4.4368306927845715,0.5,5%-95%,Cyclic + Calendar
433,365.25,0.0063044794839835685,7.572331713138738,92.42766828686126,4.43652807776934,0.5,5%-95%,Cyclic + Calendar
434,365.25,0.0062970280819141244,7.578628741220653,92.42137125877935,4.4362258204214085,0.5,5%-95%,Cyclic + Calendar
435,365.25,0.006289602418755684,7.584918343639408,92.41508165636058,4.435923919505308,0.5,5%-95%,Cyclic + Calendar
436,365.25,0.006282202346663546,7.591200545986072,92.40879945401392,4.435622373792668,0.5,5%-95%,Cyclic + Calendar
437,365.25,0.006274827718995754,7.597475373705062,92.40252462629493,4.4353211820621565,0.5,5%-95%,Cyclic + Calendar
438,365.25,0.006267478390257579,7.603742852095317,92.39625714790468,4.435020343099424,0.5,5%-95%,Cyclic + Calendar
439,365.25,0.0062601542161200285,7.61000300631145,92.38999699368856,4.43471985569705,0.5,5%-95%,Cyclic + Calendar
440,365.25,0.006252855053456852,7.616255861364911,92.3837441386351,4.4344197186544845,0.5,5%-95%,Cyclic + Calendar
441,365.25,0.006245580760215012,7.622501442125121,92.37749855787489,4.434119930777994,0.5,5%-95%,Cyclic + Calendar
442,365.25,0.0062383311954702005,7.628739773320592,92.37126022667941,4.433820490880612,0.5,5%-95%,Cyclic + Calendar
443,365.25,0.006231106219463841,7.634970879540052,92.36502912045995,4.433521397782077,0.5,5%-95%,Cyclic + Calendar
444,365.25,0.006223905693492071,7.641194785233547,92.35880521476645,4.43322265030879,0.5,5%-95%,Cyclic + Calendar
445,365.25,0.0062167294799797546,7.647411514713524,92.35258848528647,4.432924247293751,0.5,5%-95%,Cyclic + Calendar
446,365.25,0.0062095774424064665,7.653621092155924,92.34637890784407,4.432626187576515,0.5,5%-95%,Cyclic + Calendar
